MEAS: edges=399, duration_ms=200, freq=997.50 Hz
MEAS: edges=797, duration_ms=200, freq=1992.50 Hz
MEAS: edges=1197, duration_ms=200, freq=2992.50 Hz
MEAS: edges=1587, duration_ms=200, freq=3967.50 Hz
MEAS: edges=1980, duration_ms=200, freq=4950.00 Hz
MEAS: edges=2381, duration_ms=200, freq=5952.50 Hz
MEAS: edges=2778, duration_ms=200, freq=6945.00 Hz
MEAS: edges=3174, duration_ms=200, freq=7935.00 Hz
MEAS: edges=3571, duration_ms=200, freq=8927.50 Hz
MEAS: edges=3921, duration_ms=200, freq=9802.50 Hz
MEAS: edges=4347, duration_ms=200, freq=10867.50 Hz
MEAS: edges=4762, duration_ms=200, freq=11905.00 Hz
MEAS: edges=5128, duration_ms=200, freq=12820.00 Hz
MEAS: edges=5556, duration_ms=200, freq=13890.00 Hz
MEAS: edges=5882, duration_ms=200, freq=14705.00 Hz
